id,s.fisher.age,f.name,year,cpue_fisher,cpue_sci,time,type,cpue_diff_per
84,55,RG_parelha,1992,10000,4445.889817,26,typical,224.9268518
22,49,RG_parelha,1992,8333.333333,4445.889817,26,typical,187.4390432
32,56,RG_parelha,2011,7500,5025.350556,7,typical,149.2433198
26,27,RG_parelha,2012,7333.333333,5078.879627,6,typical,144.3887997
15,35,RG_parelha,2003,7272.727273,4631.336329,15,typical,157.0330193
61,34,RG_parelha,2004,7000,4670.109104,14,typical,149.8894318
50,55,RG_parelha,1988,7000,4556.609576,30,typical,153.6229928
12,57,RG_parelha,1992,7000,4445.889817,26,typical,157.4487963
48,63,RG_parelha,1981,7000,5562.214928,37,typical,125.8491463
4,64,RG_parelha,1979,7000,6052.374252,39,typical,115.6570911
13,33,RG_parelha,2012,6666.666667,5078.879627,6,typical,131.2625452
14,37,RG_parelha,2003,6666.666667,4631.336329,15,typical,143.9469344
53,40,RG_parelha,2000,6666.666667,4540.225201,18,typical,146.8355945
25,53,RG_parelha,2012,6666.666667,5078.879627,6,typical,131.2625452
62,58,RG_parelha,1988,6666.666667,4556.609576,30,typical,146.3076122
13,33,RG_parelha,2016,6666.666667,5276.425383,2,typical,126.3481653
5,51,RG_parelha,2011,6666.666667,5025.350556,7,typical,132.6607287
21,47,RG_parelha,2004,6333.333333,4670.109104,14,typical,135.6142478
103,39,RG_parelha,2000,6250,4540.225201,18,typical,137.6583699
95,55,RG_parelha,1987,6000,4626.090978,31,typical,129.6991354
47,61,RG_parelha,1988,6000,4556.609576,30,typical,131.676851
5,51,RG_parelha,1992,5555.555556,4445.889817,26,typical,124.9593621
53,40,RG_parelha,2013,5555.555556,5130.875699,5,typical,108.2769469
30,55,RG_parelha,1998,5333.333333,4498.452519,20,typical,118.5592892
104,39,RG_parelha,2014,5333.333333,5181.084363,4,typical,102.9385542
69,49,RG_parelha,2012,5333.333333,5078.879627,6,typical,105.0100362
30,55,RG_parelha,2013,5333.333333,5130.875699,5,typical,103.945869
323,56,santos_parelha_multisp,1986,5000,2689.403673,32,typical,185.9148201
32,56,RG_parelha,1990,5000,4474.32632,28,typical,111.7486666
9,62,RG_simples,2006,5000,4102.136298,12,typical,121.8877101
21,47,RG_parelha,2014,5000,5181.084363,4,typical,96.50489453
22,49,RG_parelha,2012,5000,5078.879627,6,typical,98.44690891
25,53,RG_parelha,2016,5000,5276.425383,2,typical,94.761124
84,55,RG_parelha,2012,5000,5078.879627,6,typical,98.44690891
69,49,RG_parelha,1992,4666.666667,4445.889817,26,typical,104.9658642
3,52,RG_parelha,2011,4666.666667,5025.350556,7,typical,92.86251009
26,27,RG_parelha,2017,4500,5322.196742,1,typical,84.55155302
15,35,RG_parelha,2014,4444.444444,5181.084363,4,typical,85.78212846
1,37,RG_parelha,2014,4444.444444,5181.084363,4,typical,85.78212846
331,57,santos_parelha_multisp,1990,4375,2673.667202,28,typical,163.6329307
321,44,santos_parelha_multisp,2014,4166.666667,2738.744879,4,typical,152.1378168
61,34,RG_parelha,2014,4117.647059,5181.084363,4,typical,79.47461903
65,43,RG_tangone,1994,4000,917.5937754,24,typical,435.9227479
18,48,RG_parelha,2000,4000,4540.225201,18,typical,88.10135672
6,38,RG_simples,2016,4000,5422.286099,2,typical,73.76962276
47,61,RG_parelha,2011,4000,5025.350556,7,typical,79.59643721
48,63,RG_parelha,2009,4000,4916.025325,9,typical,81.36654585
14,37,RG_parelha,2014,3888.888889,5181.084363,4,typical,75.05936241
10,49,RG_simples,2013,3888.888889,5001.270014,5,typical,77.75802702
12,57,RG_parelha,2011,3888.888889,5025.350556,7,typical,77.38542507
103,39,RG_parelha,2014,3846.153846,5181.084363,4,typical,74.23453425
16,46,RG_parelha,2010,3636.363636,4970.813366,8,typical,73.15429827
334,57,santos_parelha_multisp,1985,3571.428571,2693.219931,33,typical,132.6081294
333,58,santos_parelha_multisp,2012,3571.428571,2722.586234,6,typical,131.1777943
6,38,RG_simples,2008,3333.333333,4337.273283,10,typical,76.85320051
17,44,RG_parelha,2000,3333.333333,4540.225201,18,typical,73.41779726
23,50,RG_simples,1992,3333.333333,3563.140218,26,typical,93.55043947
3,52,RG_parelha,1991,3333.333333,4454.964317,27,typical,74.82289634
50,55,RG_parelha,2011,3333.333333,5025.350556,7,typical,66.33036434
62,58,RG_parelha,2010,3200,4970.813366,8,typical,64.37578248
255,30,cananeia_emalhe_pescada,2007,3000,108.4677156,11,typical,2765.799928
44,39,RG_emalhe,2006,3000,1821.781394,12,typical,164.6739839
10,49,RG_simples,1998,3000,3509.700935,20,typical,85.47736846
19,61,RG_simples,2000,3000,3593.133012,18,typical,83.49259518
95,55,RG_parelha,2010,3000,4970.813366,8,typical,60.35229608
371,44,santos_parelha_multisp,1996,2916.666667,2655.824426,22,typical,109.8215168
372,66,santos_parelha_multisp,1996,2916.666667,2655.824426,22,typical,109.8215168
371,44,santos_parelha_multisp,2012,2916.666667,2722.586234,6,typical,107.1285321
323,56,santos_parelha_multisp,2010,2916.666667,2707.255942,8,typical,107.7351654
322,63,santos_parelha_multisp,2009,2916.666667,2700.018284,9,typical,108.0239598
372,66,santos_parelha_multisp,2012,2916.666667,2722.586234,6,typical,107.1285321
29,40,RG_emalhe,2008,2857.142857,1857.133855,10,typical,153.8468996
332,57,santos_parelha_multisp,2014,2857.142857,2738.744879,4,typical,104.3230744
65,43,RG_tangone,2012,2800,1680.447122,6,typical,166.6223211
17,44,RG_parelha,2014,2777.777778,5181.084363,4,typical,53.6138303
2,46,RG_parelha,1996,2666.666667,4467.873229,22,typical,59.68536998
27,48,RG_simples,1998,2666.666667,3509.700935,20,typical,75.97988308
35,62,RG_parelha,1988,2666.666667,4556.609576,30,typical,58.52304488
73,37,RG_emalhe,2013,2666.666667,1864.777617,5,typical,143.0018595
35,62,RG_parelha,2010,2666.666667,4970.813366,8,typical,53.64648541
9,62,RG_simples,2015,2666.666667,5281.246684,3,typical,50.49312836
332,57,santos_parelha_multisp,2004,2500,2669.988118,14,typical,93.63337549
320,62,santos_parelha_multisp,1988,2500,2681.584814,30,typical,93.22845158
23,50,RG_simples,2012,2500,4863.097385,6,typical,51.40756604
331,57,santos_parelha_multisp,2011,2500,2714.793785,7,typical,92.08802576
19,61,RG_simples,2013,2500,5001.270014,5,typical,49.98730309
52,39,RG_emalhe,2001,2333.333333,1691.649485,17,typical,137.9324354
1,37,RG_parelha,2004,2222.222222,4670.109104,14,typical,47.5839466
330,60,santos_parelha_multisp,2012,2142.857143,2722.586234,6,typical,78.70667662
330,60,santos_parelha_multisp,2016,2142.857143,2755.355195,2,typical,77.77063178
320,62,santos_parelha_multisp,2010,2083.333333,2707.255942,8,typical,76.95368955
36,48,RG_parelha,2012,2000,5078.879627,6,typical,39.37876356
46,45,RG_emalhe,2012,2000,1875.754363,6,typical,106.6237691
2,46,RG_parelha,2012,2000,5078.879627,6,typical,39.37876356
16,46,RG_parelha,2016,1944.444444,5276.425383,2,typical,36.85154821
4,64,RG_parelha,2008,1818.181818,4861.902751,10,typical,37.39650732
334,57,santos_parelha_multisp,2010,1785.714286,2707.255942,8,typical,65.96030535
36,48,RG_parelha,2016,1764.705882,5276.425383,2,typical,33.44510258
333,58,santos_parelha_multisp,1993,1700,2662.834822,25,typical,63.84173686
52,39,RG_emalhe,2014,1666.666667,1846.758077,4,typical,90.2482403
27,48,RG_simples,2013,1666.666667,5001.270014,5,typical,33.32486873
18,48,RG_parelha,2014,1666.666667,5181.084363,4,typical,32.16829818
51,36,RG_tangone,2001,1562.5,873.3677752,17,typical,178.9051582
55,35,RG_tangone,2002,1500,986.5320953,16,typical,152.0477648
56,43,RG_emalhe,2012,1500,1875.754363,6,typical,79.96782679
85,60,RG_emalhe,2012,1500,1875.754363,6,typical,79.96782679
75,43,RG_tangone,1995,1466.666667,922.0236487,23,typical,159.0703958
34,37,RG_tangone,2012,1428.571429,1680.447122,6,typical,85.01138836
33,40,RG_emalhe,2001,1428.571429,1691.649485,17,typical,84.44842987
31,34,RG_tangone,2016,1400,1129.5704,2,typical,123.9409248
68,24,RG_emalhe,2008,1333.333333,1857.133855,10,typical,71.79521979
41,34,RG_emalhe,2014,1333.333333,1846.758077,4,typical,72.1985922
29,40,RG_emalhe,2015,1333.333333,1822.103985,3,typical,73.17547977
37,60,RG_emalhe,2012,1333.333333,1875.754363,6,typical,71.08251268
68,24,RG_emalhe,2015,1250,1822.103985,3,typical,68.60201231
96,43,RG_emalhe,2012,1250,1875.754363,6,typical,66.63985566
20,50,RG_emalhe,2011,1250,1879.803966,7,typical,66.4962955
41,34,RG_emalhe,2004,1200,1776.115048,14,typical,67.56319087
321,44,santos_parelha_multisp,2004,1200,2669.988118,14,typical,44.94402023
33,40,RG_emalhe,2014,1200,1846.758077,4,typical,64.978733
90,57,RG_emalhe,2012,1200,1875.754363,6,typical,63.97426143
34,37,RG_tangone,2017,1153.846154,1099.273561,1,typical,104.9644233
44,39,RG_emalhe,2015,1111.111111,1822.103985,3,typical,60.97956649
8,50,RG_emalhe,2011,1111.111111,1879.803966,7,typical,59.10781821
49,46,RG_emalhe,2012,1071.428571,1875.754363,6,typical,57.11987626
31,34,RG_tangone,2018,1000,1103.061685,0,typical,90.65676141
7,66,RG_emalhe,2010,1000,1877.475633,8,typical,53.26300818
337,76,santos_parelha_multisp,1992,1000,2666.172608,26,typical,37.50694899
51,36,RG_tangone,2014,909.0909091,1333.954442,4,typical,68.15007173
277,38,cananeia_emalhe_pescada,2005,866.6666667,103.6156177,13,typical,836.4247456
108,37,RG_tangone,2005,705.8823529,1559.973095,13,typical,45.24964919
108,37,RG_tangone,2015,705.8823529,1207.062491,3,typical,58.47935448
75,43,RG_tangone,2012,666.6666667,1680.447122,6,typical,39.67198122
927,30,Norte_linha,2008,666.6666667,75.04555301,10,typical,888.3493291
826,59,Norte_armadilha,2008,608,205.8016791,10,typical,295.4300483
312,50,cananeia_emalhe_pescada,2012,571.4285714,120.5979604,6,typical,473.8293828
923,57,Norte_armadilha,2011,550,151.4770107,7,typical,363.0914008
895,30,Norte_armadilha,2008,500,205.8016791,10,typical,242.9523424
